common_name,scientific_name,latitude,longitude,observed_on,grid_id
Pato Crestón,Lophonetta specularioides,-54.8418454307,-68.3673707396,2023-12-14,187
Chimango,Daptrius chimango,-54.8408588623,-68.3699248731,2023-12-14,187
Cormorán cuello negro,Leucocarbo magellanicus,-54.8437974521,-68.3756094798,2023-12-14,187
Loica,Leistes loyca,-54.8182918795,-68.3204922198,2023-12-15,233
Matamico blanco,Daptrius albogularis,-54.812631261,-68.3199075293,2023-12-15,233
Garza bruja,Nycticorax nycticorax,-54.8106975152,-68.3140679999,2023-12-15,233
Pato Crestón,Lophonetta specularioides,-54.8160171007,-68.3183565356,2023-12-16,233
Becasina Patagónica,Gallinago magellanica,-54.815639752,-68.3188298532,2023-12-16,233
Pato Crestón,Lophonetta specularioides,-54.815472155,-68.3191672716,2023-12-16,233
Comesebo patagónico,Phrygilus patagonicus,-54.6923466667,-68.1299528333,2023-01-01,374
Garza bruja,Nycticorax nycticorax,-54.8093278789,-68.3093486426,2023-12-17,233
Garza Bruja (obscurus),Nycticorax nycticorax,-54.809335341,-68.3093579805,2023-12-17,233
Águila mora,Geranoaetus melanoleucus,-54.76523364,-68.24049893,2023-12-17,280
Remolinera parda,Cinclodes fuscus,-54.7673647828,-68.2399329543,2023-12-17,280
