common_name,scientific_name,latitude,longitude,observed_on,grid_id
Cormorán cuello negro,Leucocarbo magellanicus,-54.867678,-67.466637,2009-11-21,199
Cachaña,Enicognathus ferrugineus,-54.828777,-68.558121,2013-12-22,230
Cabecitanegra austral,Spinus barbatus,-54.853885,-68.57666,2013-12-22,184
Sobrepuesto austral,Lessonia rufa,-54.844298,-68.564987,2013-12-22,184
Chingolo,Zonotrichia capensis,-54.854478,-68.573914,2013-12-22,184
Bandurria austral,Theristicus melanopis,-54.832139,-68.563271,2013-12-22,230
Zorzal patagónico,Turdus falcklandii,-54.8598694444,-68.5629744444,2014-01-30,184
Chimango,Daptrius chimango,-54.852081,-68.580287,2014-01-30,184
Garza bruja,Nycticorax nycticorax,-54.807669,-68.302723,2014-01-31,234
Gaviota cocinera,Larus dominicanus,-54.8007247248,-68.2850983168,2012-10-29,234
Remolinera araucana,Cinclodes patagonicus,-54.8007247248,-68.2850983168,2012-10-29,234
Cormorán cuello negro,Leucocarbo magellanicus,-54.8007247248,-68.2850983168,2012-10-29,234
Pato Crestón,Lophonetta specularioides,-54.804276397,-68.2947115142,2006-02-03,234
Gaviota cocinera,Larus dominicanus,-54.8090452343,-68.3085250854,2016-11-03,233
Águila mora,Geranoaetus melanoleucus,-54.8555319314,-68.5721314061,2018-01-08,184
Cormorán imperial,Leucocarbo atriceps,-54.8171796847,-68.2789306599,2018-01-08,234
Macá grande,Podiceps major,-54.8426045506,-68.5656054318,2018-01-08,184
Gaviota cocinera,Larus dominicanus,-54.8566969387,-68.4229561332,2015-03-13,186
Comesebo patagónico,Phrygilus patagonicus,-54.8411349495,-68.5595798492,2018-01-30,184
Zorzal patagónico,Turdus falcklandii,-54.8310756645,-68.563914299,2018-01-30,230
Chingolo,Zonotrichia capensis,-54.8308037571,-68.5636889935,2018-01-30,230
Cisne cuello negro,Cygnus melancoryphus,-54.8366987925,-68.5638391972,2018-01-30,230
Tero,Vanellus chilensis,-54.8068378202,-68.3002209663,2018-01-29,234
Gaviota cocinera,Larus dominicanus,-54.8062751268,-68.2981824875,2018-01-29,234
Gaviotín sudamericano,Sterna hirundinacea,-54.8070913389,-68.2974100113,2018-01-30,234
Cormorán cuello negro,Leucocarbo magellanicus,-54.8077096704,-68.2991695404,2018-01-29,234
Gaviotín sudamericano,Sterna hirundinacea,-54.8019121,-68.3029511,2018-03-03,234
Remolinera parda,Cinclodes fuscus,-54.8019121,-68.3029511,2018-03-03,234
Tordo patagónico,Curaeus curaeus,-54.8549561912,-68.5781088477,2010-10-28,184
Chimango,Daptrius chimango,-54.8525258538,-68.575630188,2010-10-28,184
Bandurria austral,Theristicus melanopis,-54.82185,-68.30338,2005-02-21,234
Dormilona fraile,Muscisaxicola flavinucha,-54.7862254,-68.4028492,2018-02-07,278
Dormilona cara negra,Muscisaxicola maclovianus,-54.7897805018,-68.3923735702,2018-01-24,278
Cisne cuello negro,Cygnus melancoryphus,-54.8795297712,-67.3270306286,2013-11-22,200
Bandurria austral,Theristicus melanopis,-54.8019121,-68.3029511,2009-12-28,234
Becasina Patagónica,Gallinago magellanica,-54.8019121,-68.3029511,2009-12-28,234
Ostrero negro,Haematopus ater,-54.8019121,-68.3029511,2010-01-05,234
Garza bruja,Nycticorax nycticorax,-54.8019121,-68.3029511,2010-01-05,234
Zorzal patagónico,Turdus falcklandii,-54.8080071574,-68.3636410747,2018-10-21,233
Pato Barcino,Anas flavirostris,-54.8062721212,-68.364928535,2018-10-21,233
Dormilona cara negra,Muscisaxicola maclovianus,-54.8058839999,-68.3653454646,2018-10-21,233
Comesebo patagónico,Phrygilus patagonicus,-54.8078626867,-68.363028036,2018-10-21,233
Gaviota cocinera,Larus dominicanus,-54.7893072217,-68.2524494088,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.789079717,-68.2532981747,2018-10-21,280
Águila mora,Geranoaetus melanoleucus,-54.7901980079,-68.2497028267,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.7899010813,-68.2520740469,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.79128672,-68.2511299093,2018-10-21,280
Águila mora,Geranoaetus melanoleucus,-54.7912731648,-68.2494991262,2018-10-21,280
Zorzal patagónico,Turdus falcklandii,-54.8460401675,-68.5495762083,2018-10-22,184
Cachaña,Enicognathus ferrugineus,-54.838231177,-68.5552410338,2018-10-22,230
Cisne cuello negro,Cygnus melancoryphus,-54.8391208851,-68.5581592772,2018-10-22,184
Caburé grande,Glaucidium nana,-54.841097944,-68.5586742613,2018-10-22,184
Diucón,Pyrope pyrope,-54.8426795214,-68.559017584,2018-10-22,184
Ostrero austral,Haematopus leucopodus,-54.8419875889,-68.5655407164,2018-10-22,184
,Curaeus curaeus,-54.8415921936,-68.5609058592,2018-10-22,184
Comesebo patagónico,Phrygilus patagonicus,-54.8443598794,-68.5615925047,2018-10-22,184
Pato Overo,Mareca sibilatrix,-54.8056551164,-68.2918361538,2018-10-22,234
Playerito unicolor,Calidris bairdii,-54.8049031601,-68.2904676333,2018-10-22,234
Sobrepuesto austral,Lessonia rufa,-54.8048536905,-68.2882360354,2018-10-22,234
Ostrero austral,Haematopus leucopodus,-54.8051999765,-68.2899526491,2018-10-22,234
Garza bruja,Nycticorax nycticorax,-54.8110456602,-68.3135751704,2018-10-23,233
Gaviota cocinera,Larus dominicanus,-54.8096124154,-68.3078006619,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.8098745361,-68.3078054323,2018-10-24,233
Ostrero negro,Haematopus ater,-54.8099487312,-68.3096937075,2018-10-24,233
Garza bruja,Nycticorax nycticorax,-54.8098992678,-68.3093074694,2018-10-24,233
Gaviota cocinera,Larus dominicanus,-54.8101960475,-68.3098224535,2018-10-24,233
Pato Crestón,Lophonetta specularioides,-54.810220779,-68.3112815752,2018-10-24,233
Paloma Doméstica,Columba livia,-54.8101713159,-68.3108524218,2018-10-24,233
Ostrero negro,Haematopus ater,-54.8122981746,-68.31437148,2018-10-24,233
Pato Crestón,Lophonetta specularioides,-54.8127680469,-68.313126935,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.813114265,-68.3152297869,2018-10-24,233
Tero,Vanellus chilensis,-54.8123476351,-68.3190203101,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.8127680469,-68.3175252505,2018-10-24,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.810319705,-68.3110450335,2018-10-24,233
Petrel plateado,Fulmarus glacialoides,-54.8081284737,-68.299217593,2018-10-24,234
Cormorán imperial,Leucocarbo atriceps,-54.8083955048,-68.2986406211,2018-10-24,234
Remolinera araucana,Cinclodes patagonicus,-54.8071959534,-68.3008507613,2018-10-24,234
Jote cabeza colorada,Cathartes aura,-54.8090385487,-68.2998207931,2018-10-24,234
Ostrero negro,Haematopus ater,-54.83641938,-68.350684274,2018-01-25,233
Cachirla goteada,Anthus correndera,-53.752079138,-67.7268252929,2018-01-27,1345
Becasina Patagónica,Gallinago magellanica,-54.8146660003,-68.3159868236,2018-01-28,233
Zorzal patagónico,Turdus falcklandii,-54.8053085421,-68.2976506381,2018-11-22,234
Tero,Vanellus chilensis,-54.8054809569,-68.2961086965,2018-11-22,234
Biguá,Nannopterum brasilianum,-54.8099793184,-68.308107246,2018-11-22,233
Remolinera araucana,Cinclodes patagonicus,-54.8091742187,-68.3078458624,2018-11-22,233
Cabecitanegra austral,Spinus barbatus,-54.8103756615,-68.3130304081,2018-11-22,233
Comesebo patagónico,Phrygilus patagonicus,-54.8092578675,-68.3078206916,2018-11-22,233
Quetro volador,Tachyeres patachonicus,-54.8132366769,-68.3170539658,2018-11-22,233
Chimango,Daptrius chimango,-54.8109549204,-68.3243478619,2018-11-23,233
Golondrina patagónica,Tachycineta leucopyga,-54.8110597188,-68.3245315784,2018-11-23,233
Rayadito,Aphrastura spinicauda,-54.8108873523,-68.3245242853,2018-11-23,233
Chimango,Daptrius chimango,-54.8096378281,-68.3275432592,2018-11-23,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.8104861771,-68.3123770904,2018-01-25,233
Remolinera araucana,Cinclodes patagonicus,-54.8552356619,-68.5734441876,2018-01-24,184
Remolinera parda,Cinclodes fuscus,-54.78,-68.39,2018-11-17,278
Cormorán cuello negro,Leucocarbo magellanicus,-54.8010710461,-68.2816221739,2017-12-03,234
Carancho,Caracara plancus,-54.8327666667,-68.56402,2017-01-26,230
Chingolo,Zonotrichia capensis,-54.691425,-68.1275555,2018-12-21,374
Chingolo,Zonotrichia capensis,-54.8553916667,-68.5736833333,2018-11-27,184
Cisne cuello negro,Cygnus melancoryphus,-54.8455236503,-68.5635138325,2018-11-27,184
Pato maicero,Anas georgica,-54.8434653796,-68.5633399979,2018-11-27,184
Zorzal patagónico,Turdus falcklandii,-54.8308014961,-68.5568496676,2018-11-27,230
Halconcito colorado,Falco sparverius,-53.3610516033,-68.3244583235,2013-03-05,1705
Chimango,Daptrius chimango,-54.8718719,-67.4210587,2014-01-06,199
,Curaeus curaeus,-54.8685132195,-67.4464647487,2012-01-07,199
Chimango,Daptrius chimango,-54.8786057839,-67.2884878554,2012-01-07,201
Gaviota cocinera,Larus dominicanus,-54.801071,-68.281622,2017-12-03,234
Quetro volador,Tachyeres patachonicus,-54.801071,-68.281622,2017-12-03,234
Ostrero negro,Haematopus ater,-54.801071,-68.281622,2017-12-03,234
Carancho,Caracara plancus,-54.8305866667,-68.5639283333,2019-01-17,230
Coscoroba,Coscoroba coscoroba,-54.8463006289,-68.58031194,2018-12-18,184
Gaviota cocinera,Larus dominicanus,-54.8560898665,-68.5706587137,2018-12-18,184
Carancho,Caracara plancus,-54.8712833333,-67.57003,2019-02-07,197
Tero,Vanellus chilensis,-54.7994116667,-68.3703783333,2019-02-07,233
Pato Crestón,Lophonetta specularioides,-54.8172667153,-68.3184444051,2019-01-16,233
Pato Barcino,Anas flavirostris,-54.8171957462,-68.3184907893,2019-01-16,233
Cachirla goteada,Anthus correndera,-54.8170565556,-68.3185731588,2019-01-16,233
Carancho,Caracara plancus,-54.7885468763,-68.2210563271,2019-01-16,281
Pato Overo,Mareca sibilatrix,-54.8171431012,-68.3182512937,2019-01-16,233
Chingolo,Zonotrichia capensis,-54.7881357666,-68.2204284786,2019-01-16,281
Águila mora,Geranoaetus melanoleucus,-54.7876721309,-68.2206967463,2019-01-16,281
Matamico blanco,Daptrius albogularis,-54.7870444067,-68.2200101008,2019-01-16,281
Quetro volador,Tachyeres patachonicus,-54.8103796191,-68.3135091481,2019-01-16,233
Cormorán imperial,Leucocarbo atriceps,-54.8102484648,-68.3128452557,2019-01-16,233
Pato maicero,Anas georgica,-54.8162515564,-68.3214228617,2019-01-16,233
Pato cuchara,Spatula platalea,-54.8158064528,-68.3187649831,2019-01-16,233
Becasina Patagónica,Gallinago magellanica,-54.8155591709,-68.3185933217,2019-01-16,233
Tero,Vanellus chilensis,-54.8164493787,-68.3200524434,2019-01-16,233
Quetro volador,Tachyeres patachonicus,-54.81278951,-68.3131859883,2019-01-16,233
Garza bruja,Nycticorax nycticorax,-54.8132909107,-68.3122208896,2019-01-16,233
Chimango,Daptrius chimango,-54.788819273,-68.2207612467,2019-01-16,281
Remolinera parda,Cinclodes fuscus,-54.8340502768,-68.4254095125,2019-01-17,232
Cabecitanegra austral,Spinus barbatus,-54.8353054402,-68.4230708277,2019-01-17,232
Cisne cuello negro,Cygnus melancoryphus,-54.8380735572,-68.5641460882,2019-01-17,230
Chingolo,Zonotrichia capensis,-54.8411380371,-68.5614853368,2019-01-17,184
Fiofío silbón,Elaenia albiceps,-54.8403966521,-68.5616586207,2019-01-17,184
Rayadito,Aphrastura spinicauda,-54.838716129,-68.5620003209,2019-01-17,230
Comesebo patagónico,Phrygilus patagonicus,-54.8445585986,-68.5635900374,2019-01-17,184
Cachudito pico negro,Anairetes parulus,-54.8445852985,-68.5645225961,2019-01-17,184
Remolinera araucana,Cinclodes patagonicus,-54.8548264988,-68.5749607549,2019-01-17,184
Coscoroba,Coscoroba coscoroba,-54.8539453719,-68.5747216393,2019-01-17,184
Sobrepuesto austral,Lessonia rufa,-54.8439881238,-68.5708837972,2019-01-17,184
Tero,Vanellus chilensis,-54.8437574883,-68.570240067,2019-01-17,184
Gaviota cocinera,Larus dominicanus,-54.8080927129,-68.3033666612,2011-11-06,234
Chimango,Daptrius chimango,-54.8174362322,-68.3705578697,2011-11-07,233
Chimango,Daptrius chimango,-54.7751877185,-68.2160904433,2019-02-05,281
Cormorán imperial,Leucocarbo atriceps,-54.8348611111,-68.2563388889,2019-02-06,234
Macá grande,Podiceps major,-54.8465633333,-68.566925,2018-12-04,184
Tero,Vanellus chilensis,-54.8049466667,-68.3570416667,2018-12-02,233
Gaviota cocinera,Larus dominicanus,-54.80887,-68.3076783333,2018-12-02,233
Gaviota cocinera,Larus dominicanus,-54.84692,-68.4801716667,2018-05-05,185
Tero,Vanellus chilensis,-54.8060111683,-68.2973784953,2019-03-19,234
Martín pescador grande,Megaceryle torquata,-54.8785263311,-67.3275865407,2019-03-20,200
Macá grande,Podiceps major,-54.8519325547,-68.5679433556,2019-03-21,184
Chimango,Daptrius chimango,-54.807675,-68.346505,2019-04-09,233
Gaviotín sudamericano,Sterna hirundinacea,-54.8119728754,-68.3168806231,2018-12-09,233
Chingolo,Zonotrichia capensis,-54.7244720072,-68.1675428547,2019-03-10,327
Chimango,Daptrius chimango,-54.8249633333,-68.3627783333,2019-03-30,233
Esparvero austral,Astur chilensis,-54.7897924184,-68.2513501494,2010-05-11,280
Falaropo común,Phalaropus tricolor,-54.8175590541,-68.3193403332,2011-11-05,233
Chorlito pecho canela,Zonibyx modestus,-54.832362116,-68.3166655703,2011-02-01,233
Martín pescador grande,Megaceryle torquata,-54.8153153404,-68.3161549643,2017-03-08,233
Carancho,Caracara plancus,-54.8214833333,-68.4658366667,2019-03-09,231
Gaviota capucho café,Chroicocephalus maculipennis,-54.817014467,-68.3183309324,2019-04-26,233
Remolinera araucana,Cinclodes patagonicus,-54.80604997,-68.30038522,2019-04-26,234
Gaviota capucho café,Chroicocephalus maculipennis,-54.8170913369,-68.3183976238,2019-04-26,233
Pato Crestón,Lophonetta specularioides,-54.8117444729,-68.316244521,2019-04-26,233
Cormorán imperial,Leucocarbo atriceps,-54.8114899251,-68.3167911239,2019-04-26,233
Biguá,Nannopterum brasilianum,-54.8119192142,-68.3168930178,2019-04-26,233
Pato cuchara,Spatula platalea,-54.8122384565,-68.3191390185,2019-04-26,233
Pato Barcino,Anas flavirostris,-54.8117234878,-68.3182552568,2019-04-26,233
Carancho,Caracara plancus,-54.8124033333,-68.347765,2019-04-26,233
Diucón,Pyrope pyrope,-54.49885869,-67.1997250244,2019-04-23,570
Biguá,Nannopterum brasilianum,-54.811757226,-68.3168527059,2019-04-26,233
Chimango,Daptrius chimango,-54.8249501457,-68.3740859022,2019-04-27,233
Pato Crestón,Lophonetta specularioides,-54.8309690509,-68.3273711461,2019-04-27,233
Gaviota cocinera,Larus dominicanus,-54.8311212111,-68.3268893712,2019-04-27,233
Petrel plateado,Fulmarus glacialoides,-54.8583249896,-68.1260780461,2019-04-27,190
Cisne cuello negro,Cygnus melancoryphus,-54.838375731,-68.5637550429,2019-04-28,230
Carancho,Caracara plancus,-54.8442530688,-68.562758263,2019-04-28,184
Martín pescador grande,Megaceryle torquata,-54.8443674632,-68.5624496548,2019-04-28,184
Cisne cuello negro,Cygnus melancoryphus,-54.8395677109,-68.5633144462,2019-04-28,184
Tordo patagónico,Curaeus curaeus,-54.857778322,-68.5716022845,2019-04-28,184
Rayadito,Aphrastura spinicauda,-54.8568104417,-68.5747953745,2019-04-28,184
Gaviota capucho café,Chroicocephalus maculipennis,-53.75312109,-67.72637796,2019-04-29,1345
Pato maicero,Anas georgica,-54.8243733333,-68.363685,2019-04-30,233
Macá grande,Podiceps major,-54.8679388163,-67.337836619,2017-03-07,200
Jote cabeza colorada,Cathartes aura,-54.8769555556,-67.3285833333,2017-03-31,200
Bandurria austral,Theristicus melanopis,-54.8534720447,-67.3806384882,2014-01-06,200
Carancho,Caracara plancus,-54.8763725277,-67.3327449654,2014-11-14,200
Chingolo,Zonotrichia capensis,-54.8773979624,-67.3339139843,2014-11-20,200
Rayadito,Aphrastura spinicauda,-54.8780191146,-67.3336235093,2015-01-15,200
Garza bruja,Nycticorax nycticorax,-54.8794621794,-67.3375247949,2015-01-15,200
Macá grande,Podiceps major,-54.876749541,-67.3341648585,2015-01-20,200
Tero,Vanellus chilensis,-54.8848473078,-67.3183720119,2015-01-20,154
Martín pescador grande,Megaceryle torquata,-54.8781365854,-67.3290398205,2015-03-21,200
Martín pescador grande,Megaceryle torquata,-54.8774870004,-67.3210453028,2015-03-21,200
Pato Crestón,Lophonetta specularioides,-54.8766969017,-67.3302379939,2014-11-13,200
Gaviota cocinera,Larus dominicanus,-54.8893074321,-67.3116985651,2014-11-15,155
Jote cabeza colorada,Cathartes aura,-54.8790379536,-67.3302379939,2015-03-15,200
Loica,Leistes loyca,-54.8739022328,-67.3317421967,2014-11-20,200
Sobrepuesto austral,Lessonia rufa,-54.8818030707,-67.3269356781,2014-11-20,200
Sobrepuesto austral,Lessonia rufa,-54.8766677023,-67.3255623871,2014-11-24,200
Garza bruja,Nycticorax nycticorax,-54.8681885882,-67.3380666175,2015-01-20,200
Chorlito pecho canela,Zonibyx modestus,-54.8682873722,-67.3375945487,2015-02-06,200
Biguá,Nannopterum brasilianum,-54.8783069949,-67.3286445867,2018-02-01,200
Biguá,Nannopterum brasilianum,-54.875157249,-67.3299409755,2018-02-01,200
Quetro volador,Tachyeres patachonicus,-54.80646271,-68.29969983,2019-05-24,234
Diucón,Pyrope pyrope,-54.8212526737,-68.3562733727,2019-05-28,233
Cachaña,Enicognathus ferrugineus,-54.8211879401,-68.3562114714,2019-05-28,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.8074870047,-68.3022251849,2018-11-23,234
Ostrero negro,Haematopus ater,-54.80619126,-68.29842496,2019-06-10,234
Garza bruja,Nycticorax nycticorax,-54.8150573642,-68.3058194369,2019-06-10,233
Jote cabeza colorada,Cathartes aura,-54.814771633,-68.3062402348,2019-06-10,233
Comesebo patagónico,Phrygilus patagonicus,-54.8212339332,-68.3562949568,2019-06-15,233
Zorzal patagónico,Turdus falcklandii,-54.8211889483,-68.3562174101,2019-06-15,233
Halconcito colorado,Falco sparverius,-54.7839065,-68.2593116,2016-03-13,280
Águila mora,Geranoaetus melanoleucus,-54.7976872361,-68.2253070433,2017-11-04,235
Garza bruja,Nycticorax nycticorax,-54.8075682279,-68.3024428412,2019-03-07,234
Cachaña,Enicognathus ferrugineus,-54.8559518016,-68.5773800567,2017-01-18,184
Petrel plateado,Fulmarus glacialoides,-54.80726272,-68.30207855,2019-07-01,234
Gaviota cocinera,Larus dominicanus,-54.80676805,-68.30056193,2019-07-01,234
Quetro volador,Tachyeres patachonicus,-54.4685164224,-67.2076612098,2018-11-16,616
Pato maicero,Anas georgica,-54.4695199823,-67.2075512638,2018-11-16,616
Pato Crestón,Lophonetta specularioides,-54.5615872226,-67.2608451927,2018-11-16,523
Chimango,Daptrius chimango,-54.5984444669,-67.6127585973,2018-11-16,473
Peutrén,Colorhamphus parvirostris,-54.8788646785,-67.327383714,2018-02-08,200
Martín pescador grande,Megaceryle torquata,-54.8789737183,-67.3266684139,2018-02-08,200
Pato maicero,Anas georgica,-54.8360815109,-68.5630800041,2019-01-15,230
Remolinera araucana,Cinclodes patagonicus,-54.8552767097,-68.5733846507,2018-11-16,184
Chimango,Daptrius chimango,-54.8567897981,-68.582589992,2018-11-16,184
Gaviota cocinera,Larus dominicanus,-54.85520015,-68.5737955571,2018-11-16,184
Pato Crestón,Lophonetta specularioides,-54.8552510054,-68.5729026441,2018-11-16,184
Cormorán imperial,Leucocarbo atriceps,-54.819141156,-68.2806379608,2018-11-17,234
Gaviota cocinera,Larus dominicanus,-54.8112735264,-68.3096698603,2018-11-17,233
Gaviota cocinera,Larus dominicanus,-54.8104326674,-68.3131460032,2018-11-18,233
Pato Crestón,Lophonetta specularioides,-54.8104818163,-68.3124374522,2018-11-18,233
Ostrero negro,Haematopus ater,-54.8075226269,-68.3023457243,2018-11-18,234
Gorrión Doméstico,Passer domesticus,-54.8060920726,-68.303339847,2018-11-18,234
Zorzal patagónico,Turdus falcklandii,-54.807761574,-68.3133927695,2018-11-18,233
Macá grande,Podiceps major,-54.8371917641,-68.5636559013,2019-01-15,230
Águila mora,Geranoaetus melanoleucus,-54.7899657261,-68.2222748588,2007-12-12,281
Cachudito pico negro,Anairetes parulus,-54.788499813,-68.2121133707,2007-12-12,281
Rayadito,Aphrastura spinicauda,-54.7884620874,-68.2118132135,2008-02-05,281
Picolezna patagónico,Pygarrhichas albogularis,-54.7880781982,-68.206774911,2007-01-24,281
Cachudito pico negro,Anairetes parulus,-54.7881163988,-68.2117355141,2008-01-24,281
Rayadito,Aphrastura spinicauda,-54.7956806215,-68.2108298448,2008-01-24,235
Cachudito pico negro,Anairetes parulus,-54.7959051031,-68.2106945423,2008-01-24,235
Carancho,Caracara plancus,-54.7884108225,-68.215434304,2008-01-24,281
Cabecitanegra austral,Spinus barbatus,-54.7876361615,-68.2196839819,2008-01-24,281
Matamico blanco,Daptrius albogularis,-54.7888143742,-68.2152361066,2008-01-24,281
Chingolo,Zonotrichia capensis,-54.7967382613,-68.2137731505,2008-01-24,235
Picolezna patagónico,Pygarrhichas albogularis,-54.7962656558,-68.2112290273,2008-01-24,235
Comesebo patagónico,Phrygilus patagonicus,-54.7910022366,-68.2087633605,2008-01-24,281
Matamico blanco,Daptrius albogularis,-54.7881897609,-68.2162193251,2008-01-24,281
Matamico blanco,Daptrius albogularis,-54.7887290501,-68.2159485343,2008-01-24,281
Matamico blanco,Daptrius albogularis,-54.7885200805,-68.2160249211,2008-01-24,281
Matamico blanco,Daptrius albogularis,-54.7885510115,-68.216100023,2008-01-24,281
Pato Overo,Mareca sibilatrix,-54.7990033962,-68.2341985349,2008-02-11,234
Ostrero negro,Haematopus ater,-54.7990033962,-68.2341985349,2008-02-11,234
Pato maicero,Anas georgica,-54.7990033962,-68.2341985349,2008-02-11,234
Cachirla goteada,Anthus correndera,-54.7990033962,-68.2341985349,2008-02-11,234
Sobrepuesto austral,Lessonia rufa,-54.7990033962,-68.2341985349,2008-02-11,234
Chingolo,Zonotrichia capensis,-54.7990033962,-68.2341985349,2008-02-11,234
Ostrero austral,Haematopus leucopodus,-54.7990033962,-68.2341985349,2008-02-11,234
Chingolo,Zonotrichia capensis,-54.7990033962,-68.2341985349,2008-02-11,234
Pato Overo,Mareca sibilatrix,-54.7990033962,-68.2341985349,2008-02-08,234
Fiofío silbón,Elaenia albiceps,-54.7990033962,-68.2341985349,2008-02-08,234
Caburé grande,Glaucidium nana,-54.8193450985,-68.4788064659,2019-07-13,231
Cisne cuello negro,Cygnus melancoryphus,-54.8193259745,-68.5771385953,2019-07-13,230
Garza bruja,Nycticorax nycticorax,-54.81080082,-68.31463701,2019-07-18,233
Pato Crestón,Lophonetta specularioides,-54.80995049,-68.31210114,2019-07-18,233
Garza bruja,Nycticorax nycticorax,-54.80897855,-68.3079133,2019-07-18,233
Remolinera araucana,Cinclodes patagonicus,-54.813697013,-68.318659609,2009-01-25,233
Martín pescador grande,Megaceryle torquata,-54.8324104834,-68.5650439141,2008-01-30,230
Quetro volador,Tachyeres patachonicus,-54.8324104834,-68.5650439141,2008-01-30,230
Bandurria austral,Theristicus melanopis,-54.8324104834,-68.5650439141,2008-01-30,230
Cabecitanegra austral,Spinus barbatus,-54.7938140527,-68.232343566,2008-01-22,280
Ostrero austral,Haematopus leucopodus,-54.7990033962,-68.2341985349,2008-01-22,234
Gaviota capucho café,Chroicocephalus maculipennis,-54.7990033962,-68.2341985349,2008-01-22,234
Gaviota capucho café,Chroicocephalus maculipennis,-54.7990033962,-68.2341985349,2008-01-19,234
Pato Crestón,Lophonetta specularioides,-54.7990033962,-68.2341985349,2008-01-19,234
Tero,Vanellus chilensis,-54.7990033962,-68.2341985349,2008-01-19,234
Quetro volador,Tachyeres patachonicus,-54.7990033962,-68.2341985349,2008-01-19,234
Remolinera araucana,Cinclodes patagonicus,-54.7990033962,-68.2341985349,2008-01-19,234
Pato Crestón,Lophonetta specularioides,-54.7990033962,-68.2341985349,2008-01-19,234
Chingolo,Zonotrichia capensis,-54.7885658709,-68.2174317527,2007-12-11,281
Chingolo,Zonotrichia capensis,-54.7885658709,-68.2174317527,2007-12-11,281
Matamico blanco,Daptrius albogularis,-54.7885658709,-68.2174317527,2007-12-11,281
Matamico blanco,Daptrius albogularis,-54.7885658709,-68.2174317527,2007-12-11,281
Chimango,Daptrius chimango,-54.7885658709,-68.2174317527,2007-12-11,281
Chingolo,Zonotrichia capensis,-54.8349316881,-68.5632414455,2007-01-30,230
Golondrina patagónica,Tachycineta leucopyga,-54.8220823856,-68.4647821938,2007-01-30,231
Chimango,Daptrius chimango,-54.8349316881,-68.5632414455,2007-01-30,230
Martín pescador grande,Megaceryle torquata,-54.7948504634,-68.2268320499,2007-01-20,235
Comesebo patagónico,Phrygilus patagonicus,-54.7981065522,-68.2097347693,2007-01-20,235
Dormilona fraile,Muscisaxicola flavinucha,-54.7981065522,-68.2097347693,2007-01-20,235
Comesebo patagónico,Phrygilus patagonicus,-54.7981065522,-68.2097347693,2007-01-20,235
Ratona aperdizada,Cistothorus platensis,-54.8000298961,-68.200474788,2007-01-21,235
Pato Barcino,Anas flavirostris,-54.8000298961,-68.200474788,2007-01-21,235
Jote cabeza colorada,Cathartes aura,-54.7990033962,-68.2341985349,2007-01-28,234
Carancho,Caracara plancus,-54.7888739841,-68.2163835272,2007-01-28,281
Jote cabeza colorada,Cathartes aura,-54.7888739841,-68.2163835272,2007-01-28,281
Carancho,Caracara plancus,-54.7888739841,-68.2163835272,2007-01-28,281
Loica,Leistes loyca,-54.7950800653,-68.2279605602,2007-01-28,235
Quetro volador,Tachyeres patachonicus,-54.7990033962,-68.2341985349,2007-01-15,234
Gaviota cocinera,Larus dominicanus,-54.7990033962,-68.2341985349,2007-01-15,234
Ostrero negro,Haematopus ater,-54.7990033962,-68.2341985349,2007-01-15,234
Pato Crestón,Lophonetta specularioides,-54.7990033962,-68.2341985349,2007-01-15,234
Ostrero negro,Haematopus ater,-54.7990033962,-68.2341985349,2007-01-15,234
Gaviota cocinera,Larus dominicanus,-54.7990033962,-68.2341985349,2007-01-15,234
Pato maicero,Anas georgica,-54.7990033962,-68.2341985349,2007-01-15,234
Chimango,Daptrius chimango,-54.7990033962,-68.2341985349,2007-01-15,234
Gaviota cocinera,Larus dominicanus,-54.7990033962,-68.2341985349,2007-01-15,234
Pato Crestón,Lophonetta specularioides,-54.8126340064,-68.3193887122,2007-01-23,233
Gaviotín sudamericano,Sterna hirundinacea,-54.8126340064,-68.3193887122,2007-01-23,233
Pato maicero,Anas georgica,-54.7990033962,-68.2341985349,2007-01-20,234
Pato Crestón,Lophonetta specularioides,-54.7990033962,-68.2341985349,2007-01-20,234
Loica,Leistes loyca,-54.7990033962,-68.2341985349,2007-01-20,234
Remolinera parda,Cinclodes fuscus,-54.8051279187,-68.2211042151,2007-01-20,235
Sobrepuesto austral,Lessonia rufa,-54.8051279187,-68.2211042151,2007-01-20,235
Chingolo,Zonotrichia capensis,-54.8051279187,-68.2211042151,2007-01-20,235
Tero,Vanellus chilensis,-54.8051279187,-68.2211042151,2007-01-20,235
Gaviota cocinera,Larus dominicanus,-54.8051279187,-68.2211042151,2007-01-20,235
Rayadito,Aphrastura spinicauda,-54.7883666149,-68.2120887761,2007-12-12,281
Diucón,Pyrope pyrope,-54.788258264,-68.2071395478,2007-12-12,281
