id,observed_on,user_id,place_guess,latitude,longitude,positional_accuracy,scientific_name_sub,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_subspecies_name,scientific_name
260331767,2025-02-01,6499578,"Ushuaia, Tierra del Fuego, Argentina",-54.8407040257,-68.2631054949,15.0,Nannopterum brasilianum,Biguá,1289601,Suliformes,Phalacrocoracidae,Nannopterum,,Nannopterum brasilianum
260416334,2025-02-02,6499578,Lago Acigami,-53.7996391662,-67.6606817544,174.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
260417456,2025-01-14,6499578,"Ushuaia, Tierra del Fuego, Argentina",-54.8349252359,-68.4465052933,175.0,Caracara plancus plancus,Carancho,1290156,Falconiformes,Falconidae,Caracara,Caracara plancus plancus,Caracara plancus
260417634,2025-01-31,816774,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8364943822,-68.3510112688,8.0,Anthus correndera,Cachirla goteada,13725,Passeriformes,Motacillidae,Anthus,,Anthus correndera
260506924,2025-02-03,6499578,"Ushuaia, Tierra del Fuego, Argentina",-54.8208999058,-68.5820966586,1909.0,Enicognathus ferrugineus,Cachaña,19262,Psittaciformes,Psittacidae,Enicognathus,,Enicognathus ferrugineus
260542620,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Anas georgica,Pato maicero,6988,Anseriformes,Anatidae,Anas,,Anas georgica
260542623,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Daptrius chimango,Chimango,1432781,Falconiformes,Falconidae,Daptrius,,Daptrius chimango
260542624,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Spatula platalea,Pato cuchara,558435,Anseriformes,Anatidae,Spatula,,Spatula platalea
260542626,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Spatula platalea,Pato cuchara,558435,Anseriformes,Anatidae,Spatula,,Spatula platalea
260542627,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Spatula platalea,Pato cuchara,558435,Anseriformes,Anatidae,Spatula,,Spatula platalea
260542628,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Leucocarbo atriceps,Cormorán imperial,1289591,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo atriceps
260542630,2024-12-05,1733946,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8105235253,-68.3090353955,968.0,Lophonetta specularioides,Pato Crestón,72994,Anseriformes,Anatidae,Lophonetta,,Lophonetta specularioides
260542632,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
260542636,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542637,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542639,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542640,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542641,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542642,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Cathartes aura,Jote cabeza colorada,4756,Cathartiformes,Cathartidae,Cathartes,,Cathartes aura
260542643,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius chimango,Chimango,1432781,Falconiformes,Falconidae,Daptrius,,Daptrius chimango
260542645,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
260542646,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
260542647,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542648,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542649,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
260542652,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.790383,-68.221283,1000.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
